Region,	 Month of Period End    Measure Names   Measure Values
Manhattan, NY	March 2023  Average Sale To List YoY 	-0.001593642
Manhattan, NY	February 2023   Average Sale To List YoY 	-0.000604499
Manhattan, NY	January 2023	Average Sale To List YoY 	-0.001162967
Manhattan, NY	December 2022	Average Sale To List YoY 	0.000308678
Manhattan, NY	November 2022	Average Sale To List YoY 	-0.000279191
Manhattan, NY	October 2022	Average Sale To List YoY 	-0.000277574
Manhattan, NY	September 2022	Average Sale To List YoY 	-0.000631696
Manhattan, NY	August 2022	Average Sale To List YoY 	-0.001295428
Manhattan, NY	July 2022	Average Sale To List YoY 	-0.000484032
Manhattan, NY	June 2022	Average Sale To List YoY 	0.000894698
Manhattan, NY	May 2022	Average Sale To List YoY 	0.001335733
Manhattan, NY	April 2022	Average Sale To List YoY 	-0.000559071
Manhattan, NY	March 2022	Average Sale To List YoY 	0.001643720
Manhattan, NY	February 2022	Average Sale To List YoY 	0.000769009
Manhattan, NY	January 2022	Average Sale To List YoY 	-0.001064299
Manhattan, NY	December 2021	Average Sale To List YoY 	-0.001487886
Manhattan, NY	March 2023	Average Sale To List MoM 	-0.001435697
Manhattan, NY	February 2023	Average Sale To List MoM 	0.001006785
Manhattan, NY	January 2023	Average Sale To List MoM 	-0.000878107
Manhattan, NY	December 2022	Average Sale To List MoM 	0.000820871
Manhattan, NY	November 2022	Average Sale To List MoM 	-0.001045545
Manhattan, NY	October 2022	Average Sale To List MoM 	0.000788079
Manhattan, NY	September 2022	Average Sale To List MoM 	-0.000553133
Manhattan, NY	August 2022	Average Sale To List MoM 	0.000612609
Manhattan, NY	July 2022	Average Sale To List MoM 	-0.001955607
Manhattan, NY	June 2022	Average Sale To List MoM 	0.000760473
Manhattan, NY	May 2022	Average Sale To List MoM 	0.000345825
Manhattan, NY	April 2022	Average Sale To List MoM 	-6.019410369e-05
Manhattan, NY	March 2022	Average Sale To List MoM 	-0.000446554
Manhattan, NY	February 2022	Average Sale To List MoM 	0.000448316
Manhattan, NY	January 2022	Average Sale To List MoM 	0.000593538
Manhattan, NY	December 2021	Average Sale To List MoM 	0.000233003
